label,url_length,num_dots,num_hyphen,num_slashes,https,subdomains,has_at_symbol,has_double_slash,has_ip,num_underscores,num_percent,num_digits,num_query_params,has_query,path_depth,suspicious_tld,brand_in_url,is_shortened,suspicious_word_count,url_entropy,hostname_length,digit_letter_ratio,num_special_chars,tld_in_path,longest_digit_run,uses_free_hosting,brand_on_free_hosting,brand_domain_mismatch,text_length,token_count,scam_keyword_count,scam_keyword_density,exclamation_count,caps_ratio,avg_word_length
1,50,3,0,5,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4.3264,20,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
1,93,3,1,3,1,1,0,0,0,0,0,40,1,1,1,0,0,0,0,4.689,43,1.0,0,0,3,0,0,0,0,0,0,0.0,0,0.0,0.0
1,22,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7201,13,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
0,24,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6054,16,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
0,36,1,0,3,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,4.1626,12,0.0,1,0,0,0,0,1,167,19,0,0.0,0,0.0288,6.421
1,40,2,1,3,1,1,0,0,0,0,0,7,0,0,0,0,0,0,0,4.4653,31,0.3333,0,0,7,1,0,0,0,0,0,0.0,0,0.0,0.0
1,30,2,0,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4.3232,21,0.0556,0,0,1,1,0,0,0,0,0,0.0,0,0.0,0.0
1,24,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0535,16,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
1,34,2,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1973,26,0.0,0,0,0,1,0,0,0,0,0,0.0,0,0.0,0.0
1,62,3,1,3,1,1,0,0,0,0,0,21,0,0,1,0,0,0,0,4.815,43,1.1053,0,0,8,0,0,0,0,0,0,0.0,0,0.0,0.0
1,32,2,1,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4.3278,21,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
1,175,2,2,7,1,1,0,0,0,1,0,17,3,1,5,0,1,0,0,5.5725,15,0.0,3,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
1,54,1,0,7,1,0,0,0,0,0,0,1,0,0,5,0,0,0,1,4.3721,9,0.0,1,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
1,45,1,3,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,4.189,25,0.0,0,0,0,0,0,0,219,26,0,0.0,1,0.0636,6.0
1,73,1,3,3,1,0,0,0,0,0,0,1,1,1,1,1,1,0,2,4.3465,29,0.0,1,0,0,0,0,1,249,25,1,0.04,0,0.1641,6.6
0,30,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0314,22,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
1,31,2,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9536,22,0.0,0,0,0,1,0,0,0,0,0,0.0,0,0.0,0.0
1,39,2,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0898,30,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
1,44,2,0,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4.3714,35,0.0312,0,0,1,1,0,0,0,0,0,0.0,0,0.0,0.0
